base_user,imp_user,direction,modalities,combo_spec,fusion,q,tn,fp,fn,tp,accuracy,precision,recall,f1
user2,user3,user2->user3,"LOF,EE,EE,EE","each:LOF,EE,EE,EE",mean,0.99,9,1,26,4,0.325,0.8,0.13333333333333333,0.2285714285714286
user2,user3,user2->user3,"LOF,EE,EE,EE","each:LOF,EE,EE,EE",max,0.99,10,0,25,5,0.375,1.0,0.16666666666666666,0.2857142857142857
user2,user3,user2->user3,"LOF,EE,EE,EE","each:LOF,EE,EE,EE",weighted,0.99,10,0,27,3,0.325,1.0,0.1,0.18181818181818182
user2,user3,user2->user3,"LOF,EE,EE,EE","each:LOF,EE,EE,EE",kof4,0.99,9,1,26,4,0.325,0.8,0.13333333333333333,0.2285714285714286
user2,user3,user2->user3,"EE,OCSVM,OCSVM,LOF","each:EE,OCSVM,OCSVM,LOF",mean,0.99,8,2,20,10,0.45,0.8333333333333334,0.3333333333333333,0.47619047619047616
user2,user3,user2->user3,"EE,OCSVM,OCSVM,LOF","each:EE,OCSVM,OCSVM,LOF",max,0.99,8,2,27,3,0.275,0.6,0.1,0.17142857142857143
user2,user3,user2->user3,"EE,OCSVM,OCSVM,LOF","each:EE,OCSVM,OCSVM,LOF",weighted,0.99,9,1,19,11,0.5,0.9166666666666666,0.36666666666666664,0.5238095238095238
user2,user3,user2->user3,"EE,OCSVM,OCSVM,LOF","each:EE,OCSVM,OCSVM,LOF",kof4,0.99,8,2,15,15,0.575,0.8823529411764706,0.5,0.6382978723404256
user2,user3,user2->user3,"IF,OCSVM,EE,LOF","each:IF,OCSVM,EE,LOF",mean,0.99,8,2,24,6,0.35,0.75,0.2,0.31578947368421056
user2,user3,user2->user3,"IF,OCSVM,EE,LOF","each:IF,OCSVM,EE,LOF",max,0.99,8,2,28,2,0.25,0.5,0.06666666666666667,0.11764705882352941
user2,user3,user2->user3,"IF,OCSVM,EE,LOF","each:IF,OCSVM,EE,LOF",weighted,0.99,9,1,25,5,0.35,0.8333333333333334,0.16666666666666666,0.2777777777777778
user2,user3,user2->user3,"IF,OCSVM,EE,LOF","each:IF,OCSVM,EE,LOF",kof4,0.99,7,3,17,13,0.5,0.8125,0.43333333333333335,0.5652173913043479
user2,user3,user2->user3,"IF,IF,OCSVM,LOF","each:IF,IF,OCSVM,LOF",mean,0.99,7,3,22,8,0.375,0.7272727272727273,0.26666666666666666,0.3902439024390244
user2,user3,user2->user3,"IF,IF,OCSVM,LOF","each:IF,IF,OCSVM,LOF",max,0.99,8,2,27,3,0.275,0.6,0.1,0.17142857142857143
user2,user3,user2->user3,"IF,IF,OCSVM,LOF","each:IF,IF,OCSVM,LOF",weighted,0.99,9,1,22,8,0.425,0.8888888888888888,0.26666666666666666,0.41025641025641024
user2,user3,user2->user3,"IF,IF,OCSVM,LOF","each:IF,IF,OCSVM,LOF",kof4,0.99,4,6,10,20,0.6,0.7692307692307693,0.6666666666666666,0.7142857142857142
user2,user3,user2->user3,"OCSVM,EE,OCSVM,LOF","each:OCSVM,EE,OCSVM,LOF",mean,0.99,8,2,24,6,0.35,0.75,0.2,0.31578947368421056
user2,user3,user2->user3,"OCSVM,EE,OCSVM,LOF","each:OCSVM,EE,OCSVM,LOF",max,0.99,7,3,8,22,0.725,0.88,0.7333333333333333,0.8
user2,user3,user2->user3,"OCSVM,EE,OCSVM,LOF","each:OCSVM,EE,OCSVM,LOF",weighted,0.99,9,1,19,11,0.5,0.9166666666666666,0.36666666666666664,0.5238095238095238
user2,user3,user2->user3,"OCSVM,EE,OCSVM,LOF","each:OCSVM,EE,OCSVM,LOF",kof4,0.99,9,1,25,5,0.35,0.8333333333333334,0.16666666666666666,0.2777777777777778
user2,user4,user2->user4,"LOF,EE,EE,EE","each:LOF,EE,EE,EE",mean,0.99,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492
user2,user4,user2->user4,"LOF,EE,EE,EE","each:LOF,EE,EE,EE",max,0.99,10,0,0,30,1.0,1.0,1.0,1.0
user2,user4,user2->user4,"LOF,EE,EE,EE","each:LOF,EE,EE,EE",weighted,0.99,10,0,0,30,1.0,1.0,1.0,1.0
user2,user4,user2->user4,"LOF,EE,EE,EE","each:LOF,EE,EE,EE",kof4,0.99,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492
user2,user4,user2->user4,"EE,OCSVM,OCSVM,LOF","each:EE,OCSVM,OCSVM,LOF",mean,0.99,8,2,0,30,0.95,0.9375,1.0,0.967741935483871
user2,user4,user2->user4,"EE,OCSVM,OCSVM,LOF","each:EE,OCSVM,OCSVM,LOF",max,0.99,8,2,0,30,0.95,0.9375,1.0,0.967741935483871
user2,user4,user2->user4,"EE,OCSVM,OCSVM,LOF","each:EE,OCSVM,OCSVM,LOF",weighted,0.99,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492
user2,user4,user2->user4,"EE,OCSVM,OCSVM,LOF","each:EE,OCSVM,OCSVM,LOF",kof4,0.99,8,2,0,30,0.95,0.9375,1.0,0.967741935483871
user2,user4,user2->user4,"IF,OCSVM,EE,LOF","each:IF,OCSVM,EE,LOF",mean,0.99,8,2,0,30,0.95,0.9375,1.0,0.967741935483871
user2,user4,user2->user4,"IF,OCSVM,EE,LOF","each:IF,OCSVM,EE,LOF",max,0.99,8,2,0,30,0.95,0.9375,1.0,0.967741935483871
user2,user4,user2->user4,"IF,OCSVM,EE,LOF","each:IF,OCSVM,EE,LOF",weighted,0.99,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492
user2,user4,user2->user4,"IF,OCSVM,EE,LOF","each:IF,OCSVM,EE,LOF",kof4,0.99,7,3,0,30,0.925,0.9090909090909091,1.0,0.9523809523809523
user2,user4,user2->user4,"IF,IF,OCSVM,LOF","each:IF,IF,OCSVM,LOF",mean,0.99,7,3,0,30,0.925,0.9090909090909091,1.0,0.9523809523809523
